,PaperName,Year,sources,place,authors,hyperlink,citationG,citationO,citationI
72,"Efficient Techniques for Training the Memristor-based Spiking Neural Networks Targeting Better Speed, Energy and Lifetime.",2021,ACM, Taiwan,"Yu Ma, Pingqiang Zhou",https://doi.org/10.1145/3394885.3431555,3,0,0
73,PCBench: Benchmarking of Board-Level Hardware Attacks and Trojans.,2021,ACM, Taiwan,"Huifeng Zhu, Xiaolong Guo, Yier Jin, Xuan Zhang",https://doi.org/10.1145/3394885.3431596,6,0,0
74,Cache-Aware Dynamic Skewed Tree for Fast Memory Authentication.,2021,ACM, Taiwan,"Saru Vig, Siew-Kei Lam, Rohan Juneja",https://doi.org/10.1145/3394885.3431593,2,2,0
75,Automated Test Generation for Hardware Trojan Detection using Reinforcement Learning.,2021,ACM, Taiwan,"Zhixin Pan, Prabhat Mishra",https://doi.org/10.1145/3394885.3431595,38,23,0
76,On the Impact of Aging on Power Analysis Attacks Targeting Power-Equalized Cryptographic Circuits.,2021,ACM, Taiwan,"Md Toufiq Hasan Anik, Bijan Fadaeinia, Amir Moradi, Naghmeh Karimi",https://doi.org/10.1145/3394885.3431597,6,4,0
77,Energy-Performance Co-Management of Mixed-Sensitivity Workloads on Heterogeneous Multi-core Systems.,2021,ACM, Taiwan,"Elham Shamsa, Anil Kanduri, Amir M. Rahmani, Pasi Liljeberg",https://doi.org/10.1145/3394885.3431516,4,0,0
78,Optimizing Inter-Core Data-Propagation Delays in Industrial Embedded Systems under Partitioned Scheduling.,2021,ACM, Taiwan,"Lamija Hasanagic, Tin Vidovic, Saad Mubeen, Mohammad Ashjaei, Matthias Becker",https://doi.org/10.1145/3394885.3431515,3,0,0
79,LiteIndex: Memory-Efficient Schema-Agnostic Indexing for JSON documents in SQLite.,2021,ACM, Taiwan,"Siqi Shang, Qihong Wu, Tianyu Wang, Zili Shao",https://doi.org/10.1145/3394885.3431518,1,0,0
80,Micro-architectural Cache Side-Channel Attacks and Countermeasures.,2021,ACM, Taiwan,"Chaoqun Shen, Congcong Chen, Jiliang Zhang",https://doi.org/10.1145/3394885.3431638,7,3,0
81,Security of Neural Networks from Hardware Perspective: A Survey and Beyond.,2021,ACM, Taiwan,"Qian Xu, Md Tanvir Arafin, Gang Qu",https://doi.org/10.1145/3394885.3431639,19,0,0
82,Learning Assisted Side Channel Delay Test for Detection of Recycled ICs.,2021,ACM, Taiwan,"Ashkan Vakil, Farzad Niknia, Ali Mirzaeian, Avesta Sasan, Naghmeh Karimi",https://doi.org/10.1145/3394885.3431640,9,6,0
83,ML-augmented Methodology for Fast Thermal Side-channel Emission Analysis.,2021,ACM, Taiwan,"Norman Chang, Deqi Zhu, Lang Lin, Dinesh Selvakumaran, Jimin Wen, Stephen H. Pan, Wenbo Xia, Hua Chen, Calvin Chow, Gary Chen",https://doi.org/10.1145/3394885.3431641,2,0,0
84,1st-Order to 2nd-Order Threshold Logic Gate Transformation with an Enhanced ILP-based Identification Method.,2021,ACM, Taiwan,"Li-Cheng Zheng, Hao-Ju Chang, Yung-Chih Chen, Jing-Yang Jou",https://doi.org/10.1145/3394885.3431558,0,0,0
85,A Novel Technology Mapper for Complex Universal Gates.,2021,ACM, Taiwan,"Meng-Che Wu, Ai Quoc Dao, Mark Po-Hung Lin",https://doi.org/10.1145/3394885.3431561,0,0,0
86,High-Level Synthesis of Transactional Memory.,2021,ACM, Taiwan,"Omar Ragheb, Jason Helge Anderson",https://doi.org/10.1145/3394885.3431556,0,0,0
87,VADER: Leveraging the Natural Variation of Hardware to Enhance Adversarial Attack.,2021,ACM, Taiwan,"Hao Lv, Bing Li, Ying Wang, Cheng Liu, Lei Zhang",https://doi.org/10.1145/3394885.3431598,2,0,0
88,Entropy-Based Modeling for Estimating Adversarial Bit-flip Attack Impact on Binarized Neural Network.,2021,ACM, Taiwan,"Navid Khoshavi, Saman Sargolzaei, Yu Bi, Arman Roohi",https://doi.org/10.1145/3394885.3431594,2,1,0
89,A Low Cost Weight Obfuscation Scheme for Security Enhancement of ReRAM Based Neural Network Accelerators.,2021,ACM, Taiwan,"Yuhang Wang, Song Jin, Tao Li",https://doi.org/10.1145/3394885.3431599,3,1,0
90,Puncturing the memory wall: Joint optimization of network compression with approximate memory for ASR application.,2021,ACM, Taiwan,"Qin Li, Peiyan Dong, Zijie Yu, Changlu Liu, Fei Qiao, Yanzhi Wang, Huazhong Yang",https://doi.org/10.1145/3394885.3431512,0,0,0
91,Canonical Huffman Decoder on Fine-grain Many-core Processor Arrays.,2021,ACM, Taiwan,"Satyabrata Sarangi, Bevan Baas",https://doi.org/10.1145/3394885.3431424,5,3,0
92,A Decomposition-Based Synthesis Algorithm for Sparse Matrix-Vector Multiplication in Parallel Communication Structure.,2021,ACM, Taiwan,"Mingfei Yu, Ruitao Gao, Masahiro Fujita",https://doi.org/10.1145/3394885.3431422,1,0,0
93,Learning Boolean Circuits from Examples for Approximate Logic Synthesis.,2021,ACM, Taiwan,"Sina Boroumand, Christos-Savvas Bouganis, George A. Constantinides",https://doi.org/10.1145/3394885.3431559,5,0,0
94,Read your Circuit: Leveraging Word Embedding to Guide Logic Optimization.,2021,ACM, Taiwan,"Walter Lau Neto, Matheus Trevisan Moreira, Luca G. Amarù, Cunxi Yu, Pierre-Emmanuel Gaillardon",https://doi.org/10.1145/3394885.3431560,5,0,0
95,Exploiting HLS-Generated Multi-Version Kernels to Improve CPU-FPGA Cloud Systems.,2021,ACM, Taiwan,"Bernardo Neuhaus Lignati, Michael Guilherme Jordan, Guilherme Korol, Mateus Beck Rutzig, Antonio Carlos Schneider Beck",https://doi.org/10.1145/3394885.3431557,4,2,0
96,Area Efficient Functional Locking through Coarse Grained Runtime Reconfigurable Architectures.,2021,ACM, Taiwan,"Jianqi Chen, Benjamin Carrión Schäfer",https://doi.org/10.1145/3394885.3431601,3,3,0
